date,location_key,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,new_hospitalized_patients,new_intensive_care_patients,new_ventilator_patients,cumulative_hospitalized_patients,cumulative_intensive_care_patients,cumulative_ventilator_patients,current_hospitalized_patients,current_intensive_care_patients,current_ventilator_patients,mobility_transit_stations,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_residential,mobility_workplaces,wikidata_id,datacommons_id,openstreetmap_id,latitude,longitude,location_geometry,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm
2/28/2020,US_WV_54021,US,United States of America,WV,West Virginia,54021,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q504842,geoId/54021,1913185,38.92,-80.85,POINT(-80.85 38.92),-1.361111,-4.127778,1.611111,1.04775,50.8
2/29/2020,US_WV_54021,US,United States of America,WV,West Virginia,54021,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q504842,geoId/54021,1913185,38.92,-80.85,POINT(-80.85 38.92),-3.577778,-7.627778,0.6,1.354667,30.48
3/1/2020,US_WV_54021,US,United States of America,WV,West Virginia,54021,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q504842,geoId/54021,1913185,38.92,-80.85,POINT(-80.85 38.92),-0.494444,-7.988889,10.855556,0.2032,50.8
3/2/2020,US_WV_54021,US,United States of America,WV,West Virginia,54021,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q504842,geoId/54021,1913185,38.92,-80.85,POINT(-80.85 38.92),7.9,2.244444,12.733333,1.342571,
3/3/2020,US_WV_54021,US,United States of America,WV,West Virginia,54021,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q504842,geoId/54021,1913185,38.92,-80.85,POINT(-80.85 38.92),10.516667,6.177778,16.216667,8.5725,
3/4/2020,US_WV_54021,US,United States of America,WV,West Virginia,54021,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q504842,geoId/54021,1913185,38.92,-80.85,POINT(-80.85 38.92),8.666667,1.45,15.738889,5.531556,
3/5/2020,US_WV_54021,US,United States of America,WV,West Virginia,54021,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q504842,geoId/54021,1913185,38.92,-80.85,POINT(-80.85 38.92),6.561111,-2.4,14.605556,0,
3/6/2020,US_WV_54021,US,United States of America,WV,West Virginia,54021,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q504842,geoId/54021,1913185,38.92,-80.85,POINT(-80.85 38.92),3.883333,-1.761111,12.827778,0.169333,
3/7/2020,US_WV_54021,US,United States of America,WV,West Virginia,54021,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q504842,geoId/54021,1913185,38.92,-80.85,POINT(-80.85 38.92),1.022222,-1.277778,6.427778,4.100286,
3/8/2020,US_WV_54021,US,United States of America,WV,West Virginia,54021,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q504842,geoId/54021,1913185,38.92,-80.85,POINT(-80.85 38.92),3.777778,-4.972222,17.272222,0.4318,50.8
3/9/2020,US_WV_54021,US,United States of America,WV,West Virginia,54021,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q504842,geoId/54021,1913185,38.92,-80.85,POINT(-80.85 38.92),10.627778,1.361111,19.461111,0,
3/10/2020,US_WV_54021,US,United States of America,WV,West Virginia,54021,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q504842,geoId/54021,1913185,38.92,-80.85,POINT(-80.85 38.92),13.177778,8.855556,17.194444,0.834571,
3/11/2020,US_WV_54021,US,United States of America,WV,West Virginia,54021,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q504842,geoId/54021,1913185,38.92,-80.85,POINT(-80.85 38.92),9.527778,6.661111,14.727778,3.90525,
3/12/2020,US_WV_54021,US,United States of America,WV,West Virginia,54021,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q504842,geoId/54021,1913185,38.92,-80.85,POINT(-80.85 38.92),11.344444,4.016667,21.344444,0.254,
3/13/2020,US_WV_54021,US,United States of America,WV,West Virginia,54021,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q504842,geoId/54021,1913185,38.92,-80.85,POINT(-80.85 38.92),14.077778,9.194444,18.038889,9.652,
3/14/2020,US_WV_54021,US,United States of America,WV,West Virginia,54021,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q504842,geoId/54021,1913185,38.92,-80.85,POINT(-80.85 38.92),5.205556,0.061111,12.372222,1.36525,
3/15/2020,US_WV_54021,US,United States of America,WV,West Virginia,54021,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q504842,geoId/54021,1913185,38.92,-80.85,POINT(-80.85 38.92),3.094444,0.188889,8.605556,5.479143,
3/16/2020,US_WV_54021,US,United States of America,WV,West Virginia,54021,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q504842,geoId/54021,1913185,38.92,-80.85,POINT(-80.85 38.92),5.4,1.433333,9.75,0.366889,
3/17/2020,US_WV_54021,US,United States of America,WV,West Virginia,54021,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q504842,geoId/54021,1913185,38.92,-80.85,POINT(-80.85 38.92),7.866667,2.811111,10.344444,1.451429,
3/18/2020,US_WV_54021,US,United States of America,WV,West Virginia,54021,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q504842,geoId/54021,1913185,38.92,-80.85,POINT(-80.85 38.92),8.505556,3.05,15.75,1.814286,
3/19/2020,US_WV_54021,US,United States of America,WV,West Virginia,54021,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q504842,geoId/54021,1913185,38.92,-80.85,POINT(-80.85 38.92),15.194444,10.816667,19.866667,12.446,
